VID,"videoInfo.videoError: Descending","Unique count of vid",errors
"60,847",4,1,127
"60,863",4,1,4
"60,928",4,1,1
"60,957",4,1,1
"61,327",4,1,1
"61,331",4,1,1
"61,379",3,1,2
"61,379",4,1,3
"61,444",4,1,2
"61,526",3,1,2
"61,526",4,1,1
"61,652",4,1,1
"61,666",3,1,2
"61,687",3,1,1
"61,701",4,1,1
"61,828",4,1,1
"61,851",3,1,1
"61,875",4,1,1
"61,901",4,1,2
"61,995",4,1,14
"62,018",3,1,1
"62,047",4,1,2
"62,256",4,1,2
"62,376",3,1,1
"62,595",4,1,1
"62,601",4,1,1
"62,725",4,1,1
"62,804",4,1,1
"62,809",4,1,1
"62,814",4,1,1
"62,820",4,1,2
"63,049",3,1,1
"63,049",4,1,1
"63,072",4,1,1
"63,124",4,1,2
"63,188",4,1,2
"63,265",3,1,1
"63,285",4,1,2
"63,302",4,1,7
"63,380",3,1,1
"63,391",3,1,1
"63,398",4,1,1
"63,447",4,1,1
"63,478",4,1,1
"63,692",4,1,1
"63,768",4,1,2
"63,820",3,1,1
"63,823",4,1,1
"63,871",4,1,1
"63,953",4,1,14
"63,989",4,1,1
"63,995",3,1,1
"64,017",4,1,1
"64,112",4,1,3
"64,138",4,1,1
"64,453",4,1,1
"64,473",4,1,1
"64,511",3,1,1
"64,532",4,1,1
"64,595",4,1,3
"64,741",3,1,1
"64,753",3,1,1
"64,804",4,1,1
"64,876",4,1,1
"64,894",3,1,1
"64,894",4,1,1
"64,914",3,1,1
"64,915",4,1,20
"65,056",4,1,1
"65,057",4,1,1
"65,059",4,1,11
"65,074",4,1,25
"65,076",4,1,96
"65,178",4,1,2
"65,199",4,1,16
"65,218",4,1,1
"65,222",4,1,1
"65,376",4,1,1
"65,433",3,1,1
"65,541",4,1,1
"65,568",3,1,1
"65,581",4,1,1
"65,603",4,1,1
"65,633",4,1,1
"65,662",4,1,1
"65,679",4,1,1
"65,741",4,1,2
"65,770",4,1,3
"65,839",4,1,1
"65,941",4,1,1
"65,980",3,1,1
"65,980",4,1,15
"65,998",4,1,1
"66,020",4,1,1
"66,081",4,1,1
"66,093",3,1,1
"66,093",4,1,4
"66,312",4,1,4
"66,338",4,1,1
"66,346",4,1,1
"66,385",3,1,1
"66,464",3,1,2
"66,464",4,1,7
"66,543",3,1,2
"66,644",3,1,1
"66,670",4,1,1
"66,717",4,1,2
"66,755",4,1,1
"66,862",4,1,1
"66,923",4,1,1
"66,924",3,1,3
"66,924",4,1,3
"66,976",4,1,1
"66,981",4,1,4
"67,075",4,1,1
"67,253",4,1,1
"67,342",3,1,1
"67,372",4,1,1
"67,418",4,1,1
"67,469",4,1,1
"67,498",4,1,2
"67,880",4,1,1
"67,957",4,1,1
"67,988",3,1,1
"67,988",4,1,1
"67,994",4,1,1
"68,092",4,1,4
"68,094",4,1,1
"68,097",3,1,1
"68,097",4,1,3
"68,109",4,1,1
"68,233",4,1,1
"68,260",4,1,18
"68,262",4,1,1
"68,292",4,1,23
"68,343",4,1,4
"68,348",4,1,8
"68,353",4,1,3
"68,362",4,1,8
"68,379",4,1,9
"68,387",4,1,5
"68,389",4,1,7
"68,401",4,1,10
"68,406",4,1,14
"68,442",4,1,8
"68,457",4,1,7
"68,460",4,1,26
"68,483",4,1,9
"68,491",4,1,1
"68,527",4,1,1
"68,560",4,1,4
"68,578",4,1,1
"68,587",4,1,7
"68,595",4,1,138
"68,600",4,1,10
"68,621",4,1,87
"68,659",4,1,2
"68,660",4,1,8
"68,676",4,1,4
"68,697",4,1,3
"68,698",4,1,1
"68,778",4,1,2
"68,793",4,1,18
"68,794",4,1,1
"68,795",4,1,6
"68,797",4,1,2
"68,819",4,1,1
"68,820",4,1,5
"69,005",3,1,1
"69,009",4,1,2
"69,105",4,1,1
"69,132",4,1,1
"69,149",4,1,7
"69,160",4,1,23
"69,238",4,1,1
"69,273",3,1,1
"69,339",4,1,1
"69,343",4,1,1
"69,531",4,1,21
"69,532",3,1,2
"69,532",4,1,3
"69,537",4,1,59
"69,542",4,1,14
"69,566",4,1,490
"69,595",4,1,1
"69,688",4,1,49
"69,691",3,1,2
"69,691",4,1,11
"69,710",4,1,1
"69,778",4,1,2
"69,814",4,1,6
"69,818",4,1,1
"69,826",4,1,2
"69,828",4,1,1
"69,829",4,1,3
"69,830",4,1,3
"69,885",4,1,5
"69,891",4,1,4
"69,915",4,1,45
"69,916",4,1,5
"69,924",4,1,1
"69,926",4,1,6
"69,930",4,1,2
"69,941",4,1,3
"70,062",4,1,8
"70,064",4,1,4
"70,123",4,1,2
"70,146",4,1,1
"70,230",4,1,1
"70,266",4,1,4
"70,300",4,1,1
"70,335",4,1,1
"70,343",4,1,1
"70,351",4,1,1
"70,356",3,1,1
"70,356",4,1,7
"70,413",4,1,41
"70,414",3,1,1
"70,417",4,1,5
"70,426",4,1,2
"70,439",4,1,14
"70,467",4,1,6
"70,481",4,1,1
"70,497",3,1,1
"70,497",4,1,5
"70,505",4,1,5
"70,514",4,1,14
"70,532",3,1,1
"70,542",4,1,3
"70,544",4,1,1
"70,589",4,1,5
"70,658",4,1,1
"70,700",4,1,3
"70,749",4,1,3
"70,756",3,1,1
"70,756",4,1,13
"70,763",4,1,2
"70,769",4,1,2
"70,780",4,1,6
"70,855",4,1,1
"70,970",4,1,3
"71,066",4,1,1
"71,087",4,1,1
"71,093",4,1,1
"71,117",3,1,2
"71,117",4,1,5
"71,182",4,1,2
"71,297",4,1,4
"71,325",4,1,3
"71,394",3,1,1
"71,397",4,1,1
"71,511",4,1,1
"71,515",4,1,1
"71,537",4,1,9
"71,557",3,1,1
"71,557",4,1,2
"71,597",3,1,1
"71,685",4,1,1
"71,843",4,1,1
